,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
11678,11678,2.0,0.3754,"flight, time, hour, sleep, configuration, attendant, emergency, meal, privacy, air","['seat', 'flight', 'attendant', 'day', 'footwell', 'sleep', 'premier']"
11679,11679,1.0,0.325,"class, business, service, airline, food, seating, bed, experience, year, trip","['seat', 'business', 'class', 'seat', 'seat', 'aisle', 'hour', 'flight', 'bother', 'stranger', 'climb', 'arrangement', 'price', 'business', 'class', 'seat']"
11680,11680,4.0,0.3179,"row, leg, room, window, plane, space, exit, side, front, door","['business', 'class', 'seat', 'configuration', 'window', 'person', 'window', 'seat', 'space', 'foot', 'leg', 'foot', 'space', 'foot', 'configuration', 'seat', 'access', 'climb', 'passenger', 'aisle', 'space', 'foot']"
11681,11681,4.0,0.3838,"row, leg, room, window, plane, space, exit, side, front, door","['entertainment', 'seat', 'leg', 'room']"
11682,11682,4.0,0.3577,"row, leg, room, window, plane, space, exit, side, front, door","['seat', 'emergency', 'slide', 'cover', 'exit', 'door', 'blockage', 'issue', 'flight']"
11683,11683,4.0,0.376,"row, leg, room, window, plane, space, exit, side, front, door","['connection', 'seat', 'front', 'room', 'foot', 'floor', 'seat', 'outlet']"
11684,11684,4.0,0.3209,"row, leg, room, window, plane, space, exit, side, front, door",['seat']
11685,11685,4.0,0.3619,"row, leg, room, window, plane, space, exit, side, front, door","['seat', 'leg', 'space', 'entertainment', 'equipment']"
11686,11686,4.0,0.3876,"row, leg, room, window, plane, space, exit, side, front, door","['seat', 'previous_comment', 'window', 'row', 'window', 'seat', 'aisle', 'curvature', 'plane', 'layout', 'seat', 'book']"
11687,11687,4.0,0.3577,"row, leg, room, window, plane, space, exit, side, front, door","['seat', 'amount', 'space', 'floor', 'store', 'laptop', 'bag', 'box', 'seat']"
11688,11688,4.0,0.4505,"row, leg, room, window, plane, space, exit, side, front, door","['leg', 'room', 'leg', 'equipment', 'box']"
11689,11689,4.0,0.2869,"row, leg, room, window, plane, space, exit, side, front, door","['seat', 'seat', 'food', 'customer', 'service', 'flight', 'half', 'room', 'overhead_bin', 'seat', 'bag', 'row', 'flight', 'attendant', 'bag', 'row', 'suit', 'business', 'class', 'bin', 'aisle', 'safety', 'issue', 'passenger', 'one', 'tilt', 'touch', 'screen', 'pen', 'stylus', 'touch', 'flight', 'hour']"
11690,11690,4.0,0.3964,"row, leg, room, window, plane, space, exit, side, front, door","['window', 'business', 'class', 'seat', 'seat', 'minimum', 'window', 'window']"
11691,11691,4.0,0.2987,"row, leg, room, window, plane, space, exit, side, front, door",['ton']
11692,11692,4.0,0.4445,"row, leg, room, window, plane, space, exit, side, front, door","['seat', 'front', 'leg', 'space']"
11693,11693,3.0,0.3152,"economy, foot, storage, passenger, bulkhead, aircraft, cabin, premium, armrest, recline","['galley', 'cockpit', 'eye']"
11694,11694,3.0,0.3587,"economy, foot, storage, passenger, bulkhead, aircraft, cabin, premium, armrest, recline","['storage', 'seat']"
